word_1	word_2	biword	frequency
li	PST	li|PST	1
x	3NEG	x|3NEG	1
3NEG	know	3NEG|know	15
ITER	be.right	ITER|be.right	1
NMLZ	ITER	NMLZ|ITER	1
ITER	all	ITER|all	18
all	come[3sbj].	all|come[3sbj].	5
kalókh	no.longer	kalókh|no.longer	1
x	just.ready	x|just.ready	1
just.ready	go.to	just.ready|go.to	1
go.to	PST	go.to|PST	1
INCH	eat	INCH|eat	21
3SBJ.INDF.	suddenly	3SBJ.INDF.|suddenly	1
suddenly	hear.person	suddenly|hear.person	1
kado	1NEG	kado|1NEG	1
what	PROG	what|PROG	1
PROG	happen.to	PROG|happen.to	2
łá	already	łá|already	1
PROG	see	PROG|see	5
PST	up	PST|up	2
3SBJ.DEF.	go.to	3SBJ.DEF.|go.to	4
go.to	hunt	go.to|hunt	1
kéł	CESS	kéł|CESS	1
ku	ITER	ku|ITER	3
PST	PL	PST|PL	9
PL	out	PL|out	3
3SBJ.DEF.	PL	3SBJ.DEF.|PL	1
PL	be<th.stv>pregnant	PL|be<th.stv>pregnant	1
tó	PROG	tó|PROG	4
buzzard	PROG	buzzard|PROG	1
PROG	beat.thoroughly	PROG|beat.thoroughly	1
3SBJ.PASS.	PST	3SBJ.PASS.|PST	9
finally	3NEG	finally|3NEG	21
3NEG	REP	3NEG|REP	1
REP	out	REP|out	1
x	INCH	x|INCH	1
INCH	stagger.with.pain	INCH|stagger.with.pain	1
INCH	around	INCH|around	9
around	fly	around|fly	3
now	PROG	now|PROG	3
PROG	go.to	PROG|go.to	37
already	fly	already|fly	1
wi	FUT	wi|FUT	1
kalokh	no.longer	kalokh|no.longer	1
ko	3NEG	ko|3NEG	2
kú	ITER	kú|ITER	1
wa	go.to	wa|go.to	2
kó	INCH	kó|INCH	1
tu	PL	tu|PL	3
čuwo	then	čuwo|then	1
kó	EMPH	kó|EMPH	1
kowa	INCH	kowa|INCH	1
ló	around	ló|around	1
ła	already	ła|already	1
PROG	be.one	PROG|be.one	7
sometime	PROG	sometime|PROG	13
PROG	get.money	PROG|get.money	1
INCH	love	INCH|love	3
PST	know	PST|know	10
AFF.	FUT	AFF.|FUT	3
FUT	know	FUT|know	1
EMP	FUT	EMP|FUT	2
